username,comment
Aping Ping,"kampus ini sudah baik dalam memberikan pelayanan terhadap mahasiswa, hanya saja perlu ditingkatkan kualitas untuk menunjang kenyamanan saat belajar seperti ac yang kurang dingin sebaiknya diganti atau di servis serta beberapa alat lainnya yang bermasalah"
Muhzy,Kualitas kampus dan fasilitas belajarnya sudah oke cuman menurut saya ada beberapa fasilitas yang kurang seperti AC yang tidak dingin maksimal dan sisanya sudah okelah
Fitri Annisya,"kampus ini sudah baik dalam memberikan pelayanan terhadap mahasiswa, hanya saja perlu ditingkatkan kualitas untuk menunjang kenyamanan saat belajar seperti ac yang kurang dingin sebaiknya diganti atau di servis serta beberapa alat atau kebutuhan lainnya yang bermasalah atau kurang baik"
Zaky Phasya,"kampus bagus, tetapi fasilitas di tingkatkan lagi"
JULI,"Menurut Saya Fasilitas Yang Di Berikan Tergolong Baik Hanya Baik, Kenapa Tidak Sangat Baik Karena Dengan Biaya Kuliah Yang Di Bayarkan Saya Mengharapkan Fasilitas Seperti AC Dan Kursi Bagi Mahasiswa Lebih Di Tingkatkan Dan Lebih Di Perhatikan Untuk Menunjang Kenyamanan Pada Saat Jam Kuliah. Kelazz 👍🔥🔥🔥 …"
Nanda Afr,fasilitas sudah sangat bagus tetapi di beberapa ruang kelas masih kurang nyaman (ac kurang dingin)
Kky Aja,Sudah bagus namun di ruang tertentu kurang nyaman
Xxyrdll Ygzzz,Kampus yang bagus untuk yang tertarik dengan dunia IT.
Aldianur Fajri,"STMIK posisi kampus yang strategis dan bagus, terus ruangan dingin dan beberapa ruangan ada yg kaya tua banget gitu selebihnya ga ada lagi dan bebas banjir oke mantap👍🏻, kalo bisa PC di upgrade semua dong hehehe 🙏🏻 …"
Julio Enrico Frans,"Posisi kampus yang strategis 👍
Kampusnya bersih 🗿 …"
Ivanna Sheryl,"untuk kelebihan kampus ini sangat bagus, tempat di kampus bersih, banyak pilihan makanan, kelas bersih klo masih pagi 🥰, kekurangannya parkiran sempit betul tapi gpapa ❤️ …"
Vania Azzira,"Untuk semua fasilitas dari ruangan kelas, perpustakaan, laboratorium dll sudah sangat baik. Hanya saja untuk kantin masih perlu di perbaiki dan juga parkiran masih sangat perlu diperluas."
Nabila Marsya,"fasilitas STMIK Widya Cipta Dharma cukup lengkap, tetapi beberapa fasilitasnya kurang memadai. tersedia tempat parkir tetapi kurang luas untuk menampung kendaraan mahasiswa. laboratorium juga ada tetapi beberapa lab hardwarenya kurang …"
I Made Borneo Setyawan,"Program Studi Sistem Informasi STMIK WICIDA telah mendapatkan akreditasi ""Baik Sekali"", yang menunjukkan kualitas pendidikan yang tinggi dan relevan dengan kebutuhan industri."
DHALI SAPUTRA 2241023,"wifi dan pc pada lab nya kurang untuk di tahun 2024, sebaiknya upgrade sama AC nya kurang dingin up starling please biar ga lagging. Selebihnya memuaskan."
F5 LZ,Pembangunan sudah mulai meningkat
Riva Ariefta,"kampus ini cukup baik,menurut saya minus di parkiran kurang luas,terus terdapat beberapa kelas yang ac nya ga dingin. harapan saya kedepannya lebih baik lagi"
Irma Salsabila Arianty,kampus IT terbaik👍🏼 …
Fitrah Marsal,Komputer nya perlu perkembangan
Zain al Mahdi,Semoga lab komputer bisa lebih berkembang dan lebih baikpp
Justin Kwandra,Kampus yang cocok untuk belajar IT
Rosales Kevin Hilarius,mantap
Rajiansyah IMT,STMIK itu bijaksana. Terus berlanjut!
Kevin Christ Joey,Krenn
